epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2205.94,0.89511,0.67045,1.0022,0.89549,0.70685,0.81934,0.63188,0.98112,0.79284,1.05152,0.00023525,0.00023525,0.00023525
43,2257.49,0.88319,0.66367,0.99378,0.83706,0.7565,0.81628,0.61942,0.98575,0.77688,1.04858,0.0002105,0.0002105,0.0002105
44,2308.66,0.87754,0.6569,0.99773,0.8402,0.71946,0.80164,0.61009,0.98144,0.77439,1.05045,0.00018575,0.00018575,0.00018575
45,2362.72,0.86819,0.63694,0.98686,0.81731,0.76263,0.82404,0.62655,0.97113,0.76905,1.04609,0.000161,0.000161,0.000161
46,2422.11,0.86211,0.64081,0.98665,0.86654,0.72894,0.826,0.63295,0.97228,0.76461,1.04549,0.00013625,0.00013625,0.00013625
47,2479.5,0.84965,0.62598,0.97829,0.84789,0.73983,0.82401,0.62749,0.96817,0.76222,1.04244,0.0001115,0.0001115,0.0001115
48,2530.34,0.84807,0.62657,0.98125,0.81716,0.77465,0.82566,0.63592,0.96714,0.75836,1.04328,8.675e-05,8.675e-05,8.675e-05
49,2581.12,0.84187,0.61077,0.97863,0.77458,0.77562,0.81831,0.62792,0.96488,0.7448,1.04276,6.2e-05,6.2e-05,6.2e-05
50,2631.86,0.83598,0.61065,0.97776,0.84077,0.75233,0.82567,0.63739,0.96138,0.74988,1.04271,3.725e-05,3.725e-05,3.725e-05
1,97.0281,1.43546,2.01525,1.2786,0.62428,0.47311,0.48878,0.30333,1.39847,1.71326,1.29959,0.000415739,0.000415739,0.000415739
2,173.959,1.34448,1.47964,1.21475,0.51306,0.41766,0.4745,0.27833,1.39747,1.713,1.33931,0.000815924,0.000815924,0.000815924
3,245.702,1.33361,1.39532,1.21309,0.59854,0.47536,0.51327,0.33344,1.35964,1.34894,1.30139,0.00119961,0.00119961,0.00119961
4,315.827,1.29294,1.28601,1.1969,0.76175,0.54745,0.63021,0.41752,1.35215,1.26658,1.28344,0.00117575,0.00117575,0.00117575
5,386.081,1.2879,1.24574,1.19657,0.57134,0.47301,0.51359,0.31074,1.35208,1.38479,1.33602,0.001151,0.001151,0.001151
6,455.941,1.24798,1.19098,1.17245,0.69239,0.62575,0.65155,0.43695,1.28272,1.22223,1.23509,0.00112625,0.00112625,0.00112625
7,524.813,1.21114,1.12227,1.15342,0.74094,0.54743,0.64311,0.44557,1.22564,1.15593,1.2069,0.0011015,0.0011015,0.0011015
8,592.947,1.20072,1.0972,1.14276,0.6275,0.58115,0.62142,0.41713,1.22641,1.10815,1.20422,0.00107675,0.00107675,0.00107675
9,661.084,1.18682,1.07303,1.1407,0.62661,0.61434,0.61051,0.41345,1.22103,1.07181,1.18265,0.001052,0.001052,0.001052
10,730.092,1.17138,1.04233,1.12934,0.68546,0.61344,0.66008,0.45181,1.20443,1.07271,1.16956,0.00102725,0.00102725,0.00102725
11,799.688,1.15697,1.01798,1.12516,0.65775,0.62949,0.67558,0.47198,1.18059,0.99277,1.17836,0.0010025,0.0010025,0.0010025
12,873.108,1.13589,0.99734,1.1132,0.66998,0.63215,0.66161,0.46257,1.15177,1.01199,1.13158,0.00097775,0.00097775,0.00097775
13,943.659,1.14201,0.99965,1.11579,0.79581,0.63301,0.73386,0.5291,1.15233,0.94559,1.16673,0.000953,0.000953,0.000953
14,1017.33,1.11574,0.96838,1.10797,0.72386,0.68164,0.72146,0.5253,1.12916,0.9587,1.13694,0.00092825,0.00092825,0.00092825
15,1088.26,1.09802,0.95218,1.09809,0.74843,0.66505,0.7292,0.50866,1.13131,0.97955,1.12817,0.0009035,0.0009035,0.0009035
16,1158.89,1.09866,0.93839,1.09862,0.77772,0.68788,0.75047,0.52703,1.1165,0.99111,1.13076,0.00087875,0.00087875,0.00087875
17,1229.21,1.09971,0.94491,1.09905,0.70562,0.688,0.71082,0.51794,1.10163,0.91878,1.10752,0.000854,0.000854,0.000854
18,1298.12,1.08396,0.92083,1.09075,0.81108,0.73072,0.77083,0.57127,1.08928,0.9425,1.10403,0.00082925,0.00082925,0.00082925
19,1367.98,1.07159,0.90295,1.08279,0.75583,0.69852,0.73409,0.534,1.10214,0.93327,1.10832,0.0008045,0.0008045,0.0008045
20,1437.52,1.0707,0.9065,1.09063,0.77085,0.68772,0.74074,0.53593,1.10592,0.9177,1.11506,0.00077975,0.00077975,0.00077975
21,1507.47,1.05879,0.88504,1.07298,0.81228,0.69237,0.76477,0.57253,1.07039,0.90948,1.10488,0.000755,0.000755,0.000755
22,1576.69,1.04146,0.87778,1.0715,0.77729,0.66578,0.76692,0.575,1.06981,0.87738,1.0938,0.00073025,0.00073025,0.00073025
23,1647.69,1.04297,0.87046,1.07249,0.81277,0.65138,0.7548,0.55981,1.06752,0.89486,1.10295,0.0007055,0.0007055,0.0007055
24,1717.4,1.04581,0.87497,1.07745,0.76535,0.72695,0.76582,0.56638,1.05594,0.87491,1.10256,0.00068075,0.00068075,0.00068075
